DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
DEBUG:root:Logging is configured - Log Level 10 , Log File: default.log
